title,year,rating,running_time_secs
Man of Tai Chi,2013,6.2,6300
The Smurfs,2011,5.3,6180
The Illusionist,2006,7.6,6600
The Mask,1994,6.7,6060
Only Lovers Left Alive,2013,7,7380
The Reluctant Fundamentalist,2012,6.6,7800
Aftershock,2012,4.7,5340
The Artist,2011,8,6000
Jennifer's Body,2009,5.1,6120
Training Day,2001,7.6,7320
Deadfall,2012,6.2,5700
Willy Wonka & the Chocolate Factory,1971,7.8,6000
Cold Mountain,2003,7.2,9240
Assault on Wall Street,2013,6,5940
The Addams Family,1991,6.7,5940
Angels & Demons,2009,6.6,8280
Water for Elephants,2011,6.9,7200
The Grey,2011,6.8,7020
Beastly,2011,5.3,5160
Alpha Dog,2006,6.8,7320
The Good Doctor,2011,5.4,5460
Unforgiven,1992,8.3,7860
True Grit,2010,7.7,6600
Halloween,1978,7.9,5460
Varsity Blues,1999,6.2,6360
Pawn Shop Chronicles,2013,5.5,6720
Armageddon,1998,6.4,9060
Hachi: A Dog's Tale,2009,8.1,5580
GoldenEye,1995,7.1,7800
Star Wars: Episode II - Attack of the Clones,2002,6.7,8520
What's Your Number?,2011,5.8,6360
Christmas Vacation,1989,7.3,5820
Hancock,2008,6.4,5520
Killer Elite,2011,6.4,6960
Spider-Man 2,2004,7.4,7620
Kingdom of Heaven,2005,7.1,8640
My Girl,1991,6.5,6120
Jarhead,2005,7,7500
Equilibrium,2002,7.5,6420
Los amantes pasajeros,2013,5.6,5400
Notting Hill,1999,6.9,7440
Fruitvale Station,2013,7.7,5100
The Matrix Reloaded,2003,7.1,8280
Role Models,2008,6.9,5940
Cast Away,2000,7.6,8580
Airplane!,1980,7.8,5280
Shrek,2001,7.9,5400
Rain Man,1988,8,7980
Arbitrage,2012,6.7,6420
Twelve Monkeys,1995,8.1,7740
Chasing Mavericks,2012,6.8,6960
Step Up,2006,6.2,6240
Mr. Magorium's Wonder Emporium,2007,6.1,5580
Mulholland Dr.,2001,7.9,8820
Rapture-Palooza,2013,5.1,5100
C'era una volta il West,1968,8.7,10500
The Untouchables,1987,8,7140
Vertigo,1958,8.5,7680
Hauru no ugoku shiro,2004,8.1,7140
Rise of the Planet of the Apes,2011,7.6,6300
Silent Hill: Revelation 3D,2012,5,5640
The Village,2004,6.4,6480
Apocalypto,2006,7.7,8340
Click,2006,6.4,6420
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.5,5700
The Way Back,2010,7.3,7980
There's Something About Mary,1998,7.1,7140
Fantastic Four,2005,5.7,6360
The Joneses,2009,6.4,5760
The Imposter,2012,7.5,5940
Remember Me,2010,7,6780
Superman,1978,7.3,8580
Revolutionary Road,2008,7.3,7140
Jurassic Park III,2001,5.8,5520
Yip Man,2008,8,6360
Gamer,2009,5.7,5700
Platoon,1986,8.2,7200
To Rome with Love,2012,6.3,6720
The Twilight Saga: New Moon,2009,4.5,7800
Silent Hill,2006,6.5,7500
The Bourne Identity,2002,7.9,7140
The Collection,2012,6,4920
Hellboy,2004,6.8,7320
Sweet Home Alabama,2002,5.9,6480
My Week with Marilyn,2011,7,5940
Would You Rather,2012,5.8,5580
The Raven,2012,6.3,6600
The Aviator,2004,7.5,10200
The Imaginarium of Doctor Parnassus,2009,6.8,7380
The Longest Yard,2005,6.2,6780
Pandorum,2009,6.7,6480
Constantine,2005,6.8,7260
2012,2009,5.7,9480
Seven Pounds,2008,7.5,7380
Man som hatar kvinnor,2009,7.8,9120
"Definitely, Maybe",2008,7.1,6720
Like Crazy,2011,6.6,5400
Death Proof,2007,7.1,6780
The Bourne Supremacy,2004,7.7,6480
Madagascar,2005,6.8,5160
Beasts of the Southern Wild,2012,7.3,5580
Rocky Balboa,2006,7.2,6120
Alex Cross,2012,4.9,6060
The New World,2005,6.7,8100
The Last Samurai,2003,7.7,9240
The Elephant Man,1980,8.3,7440
People Like Us,2012,7,6840
Mary Poppins,1964,7.6,8340
King Kong,2005,7.3,11220
Gone in Sixty Seconds,2000,6.3,7080
Before Sunset,2004,8,4800
Friday Night Lights,2004,7.1,7080
J. Edgar,2011,6.6,8220
The Boy in the Striped Pyjamas,2008,7.7,5640
Signs,2002,6.7,6360
Road Trip,2000,6.4,5580
Hitch,2005,6.6,7080
Brothers,2009,7.1,6300
Magic Magic,2013,5.2,5820
Robin Hood,2010,6.7,8400
The Princess and the Frog,2009,7.1,5820
The A-Team,2010,6.8,7020
Perfume: The Story of a Murderer,2006,7.5,8820
Kon-Tiki,2012,7.2,7080
Superman Returns,2006,6.2,9240
Blood Diamond,2006,8,8580
The Time Machine,2002,5.8,5760
Dracula 2000,2000,4.7,5940
Scream,1996,7.2,6660
Daredevil,2003,5.3,6180
Scary Movie,2000,6.1,5280
Angels in the Outfield,1994,5.7,6120
Can't Buy Me Love,1987,6.4,5640
Grand Masti,2013,4.4,8220
The Amityville Horror,2005,5.8,5400
Rear Window,1954,8.6,6720
Scary Movie 2,2001,5,4980
Promised Land,2012,6.5,6360
The Twilight Saga: Eclipse,2010,4.8,7440
The Sandlot,1993,7.5,6060
Coraline,2009,7.6,6000
Not Another Teen Movie,2001,5.5,5340
August Rush,2007,7.4,6840
The Woman in Black,2012,6.4,5700
Batman Returns,1992,6.9,7560
Serbuan maut,2011,7.5,6060
Panic Room,2002,6.8,6720
The Rock,1996,7.3,8160
Amadeus,1984,8.3,9600
St. Elmo's Fire,1985,6.1,6600
Dodgeball: A True Underdog Story,2004,6.6,5520
Celeste & Jesse Forever,2012,6.5,5520
The Exorcism of Emily Rose,2005,6.6,7140
Underworld: Awakening,2012,6.3,5280
The Lifeguard,2013,5.5,5880
Monty Python and the Holy Grail,1975,8.3,5460
Match Point,2005,7.7,7440
The Other Boleyn Girl,2008,6.6,6900
Van Wilder,2002,6.2,5520
Mononoke-hime,1997,8.4,8040
Cars 2,2011,6.3,6360
So Undercover,2012,4.5,5640
2 Fast 2 Furious,2003,5.4,6420
The Kids Are All Right,2010,7.1,6360
The Dreamers,2003,7.1,6900
Jane Eyre,2011,7.3,7200
Apollo 18,2011,5.2,5160
"Girl, Interrupted",1999,7.2,7620
Haywire,2011,5.9,5580
The Birds,1963,7.8,7140
Austin Powers: International Man of Mystery,1997,7,5640
Playing for Keeps,2012,5.5,6300
Empire of the Sun,1987,7.7,9120
La piel que habito,2011,7.6,7200
Red Riding Hood,2011,5.2,6000
Jewtopia,2012,4.1,5400
Short Term 12,2013,7.9,5760
ParaNorman,2012,6.9,5520
The Zero Theorem,2013,6.4,6420
Uncle Buck,1989,6.8,6000
The Human Centipede (First Sequence),2009,4.5,5520
30 Days of Night,2007,6.5,6780
The Guilt Trip,2012,5.7,5700
The Da Vinci Code,2006,6.4,8940
The Odd Life of Timothy Green,2012,6.4,6300
Coyote Ugly,2000,5.4,6000
The Muppets,2011,7.2,6540
"I, Robot",2004,7,6900
Closer,2004,7.3,6240
Shichinin no samurai,1954,8.8,12420
The Deer Hunter,1978,8.2,10920
Talladega Nights: The Ballad of Ricky Bobby,2006,6.4,6480
Margin Call,2011,7.1,6420
Hulk,2003,5.7,8280
The Devil's Rejects,2005,6.8,6420
Natural Born Killers,1994,7.1,7080
No One Lives,2012,5.8,5160
Unstoppable,2010,6.7,5880
The Heartbreak Kid,2007,5.7,6960
The Three Stooges,2012,5,5520
The Last of the Mohicans,1992,7.7,6720
The Game,1997,7.7,7740
Shrek Forever After,2010,6.4,5580
House of Wax,2005,5.2,6780
Johnny English Reborn,2011,6.1,6060
Gone Baby Gone,2007,7.7,6840
A Nightmare on Elm Street,2010,5.1,5700
17 Again,2009,6.3,6120
Interview with the Vampire: The Vampire Chronicles,1994,7.5,7380
Dear John,2010,6,6480
You Don't Mess with the Zohan,2008,5.5,6780
Adventureland,2009,6.8,6420
The Lincoln Lawyer,2011,7.3,7080
Tucker and Dale vs Evil,2010,7.5,5340
You Again,2010,5.6,6300
Rango,2011,7.3,6420
Get Him to the Greek,2010,6.4,6540
How the Grinch Stole Christmas,2000,5.8,6240
Holes,2003,6.9,7020
Paranormal Activity,2007,6.3,5160
Act of Valor,2012,6.3,6600
Minority Report,2002,7.6,8700
Transporter 3,2008,5.9,6240
The Railway Man,2013,6.4,6960
Fire with Fire,2012,5.6,5820
Alexander,2004,5.4,10500
Lars and the Real Girl,2007,7.3,6360
The Happening,2008,5.1,5460
Ghosts of Girlfriends Past,2009,5.6,6000
Jerry Maguire,1996,7.2,8340
De rouille et d'os,2012,7.5,7200
Extremely Loud & Incredibly Close,2011,6.8,7740
Predators,2010,6.4,6420
Identity,2003,7.2,5400
St. Trinian's,2007,5.5,5820
Rambo,2008,7,5520
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,6780
Pale Rider,1985,7.2,6900
Big Daddy,1999,6.2,5580
The Blues Brothers,1980,7.9,7980
Chernobyl Diaries,2012,5,5160
Wadjda,2012,7.8,5880
Shelter,2010,6,6720
13 Going on 30,2004,6,5880
About a Boy,2002,7.1,6060
Happy Feet,2006,6.5,6480
Misery,1990,7.8,6420
Antichrist,2009,6.5,6480
Ghost Rider: Spirit of Vengeance,2011,4.3,5760
Blade,1998,7,7200
American Graffiti,1973,7.5,6600
Kiss Kiss Bang Bang,2005,7.6,6180
Tears of the Sun,2003,6.5,7260
The Hills Have Eyes,2006,6.4,6420
Wild Child,2008,5.8,5880
Legion,2010,5,6000
Twister,1996,6.1,6780
Indiana Jones and the Last Crusade,1989,8.3,7620
Seed of Chucky,2004,4.9,5220
Red Lights,2012,6.1,6780
A Cinderella Story,2004,5.6,5700
The Lost Boys,1987,7.1,5820
Dinner for Schmucks,2010,5.8,6840
La grande bellezza,2013,7.5,8520
Collateral,2004,7.6,7200
A Belfast Story,2013,6.5,5940
Annie,1982,6.1,7560
Safe,2012,6.5,5640
Flipped,2010,7.5,5400
The Brass Teapot,2012,6.2,6060
The Transporter,2002,6.7,5520
Kill Bill: Vol. 2,2004,8,8220
The Holiday,2006,6.8,8280
Hereafter,2010,6.5,7740
Goon,2011,6.8,5520
Garden State,2004,7.6,6120
Terminator 3: Rise of the Machines,2003,6.4,6540
Pawn,2013,5.6,5280
The Hitchhiker's Guide to the Galaxy,2005,6.6,6540
Elf,2003,6.7,5820
Death Race,2008,6.3,6300
Life as We Know It,2010,6.3,6840
It's a Wonderful Life,1946,8.7,7800
Skyline,2010,4.4,5640
Odd Thomas,2013,6.5,6000
Bride of Chucky,1998,5.2,5340
Friday,1995,7.1,5460
Apollo 13,1995,7.5,8400
Event Horizon,1997,6.6,5760
The Mighty Ducks,1992,6.1,6000
The Matrix Revolutions,2003,6.6,7740
Body of Lies,2008,7.1,7680
StreetDance 3D,2010,5.6,5880
National Treasure,2004,6.8,7860
Hick,2011,5.4,5940
Willow,1988,7.1,7560
Meet Joe Black,1998,6.9,10680
North by Northwest,1959,8.5,8160
Solomon Kane,2009,6,6240
It's Kind of a Funny Story,2010,7,6060
Changeling,2008,7.8,8460
From Dusk Till Dawn,1996,7.2,6480
Black Rock,2012,4.6,4980
Daybreakers,2009,6.4,5880
Mamma Mia!,2008,6.3,6480
Die Another Day,2002,6,7980
Brick,2005,7.4,6600
Dead Silence,2007,6,5340
Cowboys & Aliens,2011,6.1,7140
The Godfather: Part III,1990,7.6,9720
Grindhouse,2007,7.7,11460
A Bug's Life,1998,7.2,5700
Temptation: Confessions of a Marriage Counselor,2013,4.1,6660
Escape from Planet Earth,2013,5.6,5340
"10,000 BC",2008,4.9,6540
Blazing Saddles,1974,7.7,5580
Deja Vu,2006,7,7560
Gattaca,1997,7.8,6360
Sunshine,2007,7.2,6420
Mortal Kombat,1995,5.6,6060
Lara Croft: Tomb Raider,2001,5.6,6000
The History Boys,2006,6.6,6540
Unbreakable,2000,7.2,6360
The Adventures of Tintin,2011,7.3,6420
The Crucible,1996,6.8,7440
Magnolia,1999,8,11280
Hot Rod,2007,6.5,5280
The Devil's Advocate,1997,7.4,8640
I Am Sam,2001,7.4,7920
Halloween,2007,6,6540
Prince Avalanche,2013,6.5,5640
"I Love You, Man",2009,7,6300
Ice Age,2002,7.5,4860
21,2008,6.7,7380
Premonition,2007,5.7,5760
Rosemary's Baby,1968,8,8160
Hit and Run,2012,6,6000
Pocahontas,1995,6.3,4860
1408,2007,6.7,6240
3:10 to Yuma,2007,7.7,7320
The World Is Not Enough,1999,6.3,7680
Deliverance,1972,7.8,6600
Machine Gun Preacher,2011,6.7,7740
Soul Surfer,2011,6.8,6360
Locked In,2010,5.8,5100
Groundhog Day,1993,8.1,6060
The Mummy Returns,2001,6.2,7800
Sky High,2005,6.2,6000
Chicago,2002,7.1,6780
Home Alone 2: Lost in New York,1992,6.2,7200
Red Dragon,2002,7.2,7440
The Man in the Iron Mask,1998,6.3,7920
Bronson,2008,7,5520
Live Free or Die Hard,2007,7.3,7680
Date Night,2010,6.3,5280
Seeking a Friend for the End of the World,2012,6.6,6060
Waterworld,1995,5.9,8100
Hot Tub Time Machine,2010,6.4,6060
The Switch,2010,5.9,6060
Wrong Turn,2003,6,5040
Paranormal Activity 4,2012,4.4,5280
Krull,1983,5.8,7260
Swordfish,2001,6.4,5940
Bad Boys II,2003,6.3,8820
Amour,2012,7.8,7620
Ghost World,2001,7.4,6660
Clue,1985,7.2,5640
Donnie Brasco,1997,7.7,7620
"O Brother, Where Art Thou?",2000,7.8,6360
Sleeping Beauty,2011,5.3,6060
The Man from Earth,2007,7.9,5220
Resident Evil,2002,6.6,6000
The Haunting in Connecticut 2: Ghosts of Georgia,2013,4.9,6060
The Karate Kid,2010,6.2,8400
Marie Antoinette,2006,6.3,7380
Blade II,2002,6.6,7020
Ace Ventura: Pet Detective,1994,6.8,5160
Risky Business,1983,6.7,5880
Take This Waltz,2011,6.5,6960
Face/Off,1997,7.3,8280
The Best Exotic Marigold Hotel,2011,7.2,7440
Spartacus,1960,8,11820
Vanilla Sky,2001,6.8,8160
Blitz,2011,6.1,5820
Catwoman,2004,3.2,6240
WarGames,1983,7,6840
The Sitter,2011,5.6,4860
Robin Hood: Prince of Thieves,1991,6.8,8580
Battle Los Angeles,2011,5.8,6960
Layer Cake,2004,7.3,6300
Girl Most Likely,2012,5.9,6180
Precious,2009,7.3,6600
Room 237,2012,6.4,6120
A Few Good Men,1992,7.6,8280
Planet Terror,2007,7.2,6300
The Human Centipede II (Full Sequence),2011,4,5280
Torn Curtain,1966,6.6,7680
The Faculty,1998,6.3,6240
Le fabuleux destin d'Amelie Poulain,2001,8.5,7320
The Next Three Days,2010,7.3,7980
The Others,2001,7.6,6060
Cirque du Freak: The Vampire's Assistant,2009,5.9,6540
Gone,2012,5.7,5640
Yes Man,2008,6.8,6240
L'ecume des jours,2013,6.4,7500
Saturday Night Fever,1977,6.7,7080
27 Dresses,2008,6,6660
Fired Up!,2009,6,5400
Ain't Them Bodies Saints,2013,6.9,5760
The Time Traveler's Wife,2009,7,6420
The Wrestler,2008,8,6540
Atlantis: The Lost Empire,2001,6.5,5700
Maniac,2012,6.1,5340
Police Academy,1984,6.5,5760
Dune,1984,6.5,8220
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,5.7,5280
The Basketball Diaries,1995,7.1,6120
Stranger Than Fiction,2006,7.6,6780
Red Dawn,1984,6.1,6840
The Tourist,2010,5.9,6180
Austin Powers in Goldmember,2002,6.1,5640
Yip Man: Jung gik yat jin,2013,5.6,6000
She's All That,1999,5.6,5700
All Good Things,2010,6.2,6060
A Dangerous Method,2011,6.4,5940
Hodejegerne,2011,7.5,6000
For Your Eyes Only,1981,6.8,7620
Master and Commander: The Far Side of the World,2003,7.4,8280
Step Up 3D,2010,5.8,6420
Any Given Sunday,1999,6.7,9000
The Thin Red Line,1998,7.6,10200
Idiocracy,2006,6.4,5040
The Art of the Steal,2013,7.8,5400
Burn After Reading,2008,7,5760
We Are Marshall,2006,7,7860
Das Boot,1981,8.4,8940
Journey 2: The Mysterious Island,2012,5.7,5640
Hannibal Rising,2007,6,7260
The Darkest Hour,2011,4.8,5340
Toy Story 2,1999,7.9,5520
Hitman,2007,6.2,5340
The Blair Witch Project,1999,6.3,4860
Coming to America,1988,6.8,6960
Saw 3D,2010,5.5,5400
Bridget Jones's Diary,2001,6.7,5820
The Jungle Book,1967,7.6,4680
The Descent,2005,7.2,5940
Primal Fear,1996,7.6,7740
Along Came Polly,2004,5.8,5400
Philadelphia,1993,7.6,7500
Cold Comes the Night,2013,7.4,5400
Carlito's Way,1993,7.8,8640
The Number 23,2007,6.2,6060
Hang 'Em High,1968,6.9,6840
Mrs. Doubtfire,1993,6.7,7500
A Perfect Getaway,2009,6.4,5880
The Princess Diaries,2001,5.9,6900
Zoom,2006,3.9,5580
Blood Ties,2013,5.4,8640
Butter,2011,6.1,5400
Ghost,1990,6.9,7620
Into the Blue,2005,5.7,6600
Gremlins,1984,7.2,6360
Super Troopers,2001,6.8,6000
The Crow,1994,7.5,6120
The Iron Giant,1999,7.8,5160
Legend,1985,6.2,5640
Nine,2009,5.7,7080
Mary and Max,2009,8.1,5520
30 Minutes or Less,2011,6.1,4980
Can't Hardly Wait,1998,6.3,6000
Spy Kids,2001,5.4,5280
Lord of War,2005,7.6,7320
Underworld: Rise of the Lycans,2009,6.4,5520
Dark City,1998,7.7,6000
Friends with Kids,2011,6.1,6420
Shark Tale,2004,5.9,5400
The Time Machine,1960,7.5,6180
When in Rome,2010,5.2,5460
Planet of the Apes,2001,5.6,7140
Accepted,2006,6.3,5580
Flashdance,1983,5.8,5700
Justin Bieber: Never Say Never,2011,1.7,6300
Evidence,2013,4.7,5640
The Babysitters,2007,5.7,5280
Step Up 2: The Streets,2008,5.8,5880
The Numbers Station,2013,5.4,5340
Cheaper by the Dozen,2003,5.6,5880
Take Me Home Tonight,2011,6.2,5820
The Prince of Egypt,1998,6.8,5940
The Bay,2012,5.5,5040
Lucky Number Slevin,2006,7.7,6600
The Texas Chainsaw Massacre,2003,6.1,5880
Legally Blonde,2001,6.1,5760
Tower Heist,2011,6.2,6240
Star Trek VI: The Undiscovered Country,1991,7.1,6780
Hostel,2005,5.8,5640
Mask,1985,7,7200
The Eagle,2011,6.1,6840
Eragon,2006,5,6240
The Uninvited,2009,6.2,5220
Eat Pray Love,2010,5.4,7980
Lawrence of Arabia,1962,8.4,12960
Scary Movie 3,2003,5.3,5040
The Thing,2011,6.2,6180
Super,2010,6.7,5760
The Fall,2006,7.8,7020
Cosmopolis,2012,5.1,6540
Iron Sky,2012,6,5580
Coach Carter,2005,7,8160
Corpse Bride,2005,7.3,4620
Young Frankenstein,1974,8,6360
Alien: Resurrection,1997,6.2,6540
Take the Lead,2006,6.4,7080
Frances Ha,2012,7.6,5160
Locke,2013,6.9,5100
Frankenweenie,2012,6.9,5220
Salinger,2013,5.1,7200
Red Tails,2012,5.8,7500
Casper,1995,5.8,6000
Tonari no Totoro,1988,8.2,5160
Megamind,2010,7.2,5700
The Golden Compass,2007,6.1,6780
Lat den ratte komma in,2008,8,6900
Drag Me to Hell,2009,6.7,5940
A History of Violence,2005,7.5,5760
Conan the Barbarian,1982,6.8,7740
Phantom,2013,5.7,5880
Bring It On,2000,5.8,5880
Hellboy II: The Golden Army,2008,7.1,7200
Epic Movie,2007,2.2,5160
Catfish,2010,7,5220
xXx,2002,5.7,7440
Rush Hour,1998,6.8,5880
The Green Hornet,2011,5.9,7140
Invictus,2009,7.3,8040
Lizzie,2013,2.7,5580
Gandhi,1982,8.1,11460
Shadow Dancer,2012,6.2,6060
Smokin' Aces,2006,6.6,6540
Meet the Fockers,2004,6.3,6900
Hard Ball,2001,6.1,6360
Anonymous,2011,6.7,7800
Traffic,2000,7.6,8820
The F Word,2013,6.9,6120
Babel,2006,7.5,8580
Lords of Dogtown,2005,6.9,6420
Another Earth,2011,6.9,5520
Men in Black II,2002,5.9,5280
Back to the Future Part III,1990,7.3,7080
Deep Blue Sea,1999,5.7,6300
Raging Bull,1980,8.3,7740
Ella Enchanted,2004,6.2,5760
Valley Girl,1983,6,5940
Lolita,1962,7.7,9120
Pi,1998,7.4,5040
Being John Malkovich,1999,7.8,6720
Bedazzled,2000,5.8,5580
Cabin Fever,2002,5.5,5580
Maverick,1994,6.9,7620
Scooby-Doo 2: Monsters Unleashed,2004,4.7,5580
Push,2009,6,6660
Fracture,2007,7.1,6780
The Green Inferno,2013,6.2,6180
Toys,1992,4.8,7080
You've Got Mail,1998,6.3,7140
My Best Friend's Wedding,1997,6.2,6300
Kung Fu Panda 2,2011,7.3,5460
Hell Baby,2013,4.8,5880
Cinderella,1950,7.3,4440
Bruce Almighty,2003,6.6,6060
Point Break,1991,7,7200
Ray,2004,7.7,9120
Desperado,1995,7.1,6240
Night at the Museum,2006,6.3,6480
The Grudge,2004,5.7,5520
Freaky Friday,2003,6.1,5820
Crank,2006,6.9,5280
It Happened One Night,1934,8.2,6300
Disturbia,2007,6.8,6300
First Blood,1982,7.6,5580
Dorian Gray,2009,6.2,6720
Das Leben der Anderen,2006,8.5,8220
Wet Hot American Summer,2001,6.5,5820
Chitty Chitty Bang Bang,1968,6.6,8640
The Princess Diaries 2: Royal Engagement,2004,5.3,6780
Across the Universe,2007,7.3,7980
Scent of a Woman,1992,7.8,9420
Funny People,2009,6.4,8760
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.3,7320
The Hunt for Red October,1990,7.6,8040
Final Destination 5,2011,5.8,5520
Rocky IV,1985,6.4,5460
Drillbit Taylor,2008,5.6,6600
Chinatown,1974,8.3,7800
Scary Movie 4,2006,5,4980
Finding Neverland,2004,7.7,6360
Stories We Tell,2012,7.7,6480
A River Runs Through It,1992,7.1,7380
Turistas,2006,5.1,5580
9,2009,7,4740
Bedtime Stories,2008,6,5940
Compliance,2012,6.4,5400
The Necessary Death of Charlie Countryman,2013,5.4,6480
Dan in Real Life,2007,6.7,5880
Funny Games U.S.,2007,6.4,6660
Hostel: Part II,2007,5.3,5580
Spy Kids: All the Time in the World in 4D,2011,3.5,5340
Batoru rowaiaru,2000,7.7,6840
Indiana Jones and the Temple of Doom,1984,7.6,7080
The Double,2011,5.8,5880
Hotel Rwanda,2004,8.2,7260
Get Smart,2008,6.5,6600
Mission: Impossible,1996,7,6600
Anastasia,1997,6.8,5640
Enemy of the State,1998,7.2,7920
Habitacion en Roma,2010,6,6540
Defiance,2008,7.1,8220
Upstream Color,2013,6.7,5760
Pleasantville,1998,7.4,7440
Horns,2013,7.2,7380
Piranha 3DD,2012,3.9,4980
Spaceballs,1987,7,5760
Speed,1994,7.2,6960
Four Brothers,2005,6.8,6540
Never Been Kissed,1999,5.8,6420
Last Action Hero,1993,6,7800
Bad Boys,1995,6.7,7080
The Boat That Rocked,2009,7.3,8100
Splice,2009,5.8,6240
Dragon Ball Z: Battle of Gods,2013,7.8,5100
Topaz,1969,6.2,8580
Metropolis,1927,8.4,9180
[Rec],2007,7.5,4680
Hesher,2010,7,6360
Highlander,1986,7.1,6960
Peter Pan,1953,7.3,4620
Once Upon a Time in Mexico,2003,6.3,6120
Searching for Sugar Man,2012,8.1,5160
How to Lose a Guy in 10 Days,2003,6.2,6960
Spanglish,2004,6.4,7860
Per qualche dollaro in piu,1965,8.3,7920
Austin Powers: The Spy Who Shagged Me,1999,6.6,5700
Stake Land,2010,6.5,5880
Robot & Frank,2012,7,5340
Die Hard: With a Vengeance,1995,7.5,7860
Mysterious Skin,2004,7.7,6300
Shakespeare in Love,1998,7.2,7380
The Sisterhood of the Traveling Pants,2005,6.5,7140
Transporter 2,2005,6.2,5220
Akmareul boatda,2010,7.7,8460
Life of Crime,2013,7.6,5640
Saved!,2004,6.8,5520
Hannah Montana: The Movie,2009,3.8,6120
The Last Legion,2007,5.4,6120
Practical Magic,1998,5.8,6240
The Blackout,2013,3.2,5400
House of 1000 Corpses,2003,5.8,5340
Carnage,2011,7.1,4800
Munich,2005,7.6,9840
Sunset Blvd.,1950,8.6,6600
The Apparition,2012,4,4980
Wall Street,1987,7.3,7560
Road to Perdition,2002,7.7,7020
Dances with Wolves,1990,8,10860
Liberal Arts,2012,6.6,5820
The Art of Getting By,2011,6.4,4980
The Royal Tenenbaums,2001,7.5,6600
The Eye,2008,5.2,5880
Cinderella Man,2005,7.9,8640
Thir13en Ghosts,2001,5.3,5460
Annie Hall,1977,8.2,5580
Gridiron Gang,2006,6.7,7500
Freedom Writers,2007,7.3,7380
Martha Marcy May Marlene,2011,6.9,6120
Blue Velvet,1986,7.8,7200
Get the Gringo,2012,7,5760
Freddy vs. Jason,2003,5.7,5820
Doomsday,2008,5.9,6780
The Break-Up,2006,5.7,6360
Sideways,2004,7.6,7560
The Hours,2002,7.4,6840
Confessions of a Dangerous Mind,2002,7,6780
The Core,2003,5.3,8100
Superbabies: Baby Geniuses 2,2004,1.7,5280
Salmon Fishing in the Yemen,2011,6.8,6420
Arthur Newman,2012,5.5,6060
Le scaphandre et le papillon,2007,8,6720
Star Trek: First Contact,1996,7.5,6660
Boyz n the Hood,1991,7.7,6720
Goldfinger,1964,7.8,6600
Shrek 2,2004,7.2,5580
The Look of Love,2013,5.8,6060
The Mechanic,2011,6.4,5580
K-PAX,2001,7.2,7200
The Hot Chick,2002,5.3,6240
The Chronicles of Narnia: Prince Caspian,2008,6.6,9000
The Brothers Grimm,2005,5.9,7080
Diary of a Wimpy Kid,2010,6.1,5640
State of Play,2009,7.1,7620
The League of Extraordinary Gentlemen,2003,5.6,6600
The Ward,2010,5.5,5280
The Crazies,2010,6.5,6060
Grandma's Boy,2006,6.8,5640
Hope Springs,2012,6.3,6000
RoboCop 2,1990,5.5,7020
One for the Money,2012,5.1,5460
Erin Brockovich,2000,7.2,7860
Letters to Juliet,2010,6.3,6300
Charlie St. Cloud,2010,6.1,5940
The Kingdom,2007,7,6600
En kongelig affaere,2012,7.5,8220
Friday the 13th,1980,6.4,5700
The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,9600
Marley & Me,2008,6.9,6900
Maid in Manhattan,2002,4.8,6300
Beginners,2010,7.1,6300
The Wedding Singer,1998,6.7,5700
The Day the Earth Stood Still,2008,5.4,6240
John Q,2002,6.8,6960
Wayne's World,1992,6.9,5640
Mars Attacks!,1996,6.3,6360
The Runaways,2010,6.5,6360
Good Luck Chuck,2007,5.5,6060
Straw Dogs,2011,5.7,6600
Lost in Space,1998,4.9,7800
Knight and Day,2010,6.2,6540
The Stepfather,2009,5.4,6060
Army of Darkness,1992,7.5,4860
Nick and Norah's Infinite Playlist,2008,6.7,5400
Alien 3,1992,6.4,6840
Hunger,2008,7.5,5760
Thunderball,1965,7,7800
Pet Sematary,1989,6.4,6180
Wall Street: Money Never Sleeps,2010,6.2,7980
Quartet,2012,6.7,5880
Kindergarten Cop,1990,5.9,6660
Antiviral,2012,5.5,6480
Fun Size,2012,5.1,5160
Monster's Ball,2001,7.1,6660
Snow White and the Seven Dwarfs,1937,7.7,4980
Sleepover,2004,4.8,5340
Primer,2004,6.9,4620
Lifeboat,1944,7.8,5820
The Double,2013,6.9,5580
Dick Tracy,1990,6,6300
West Side Story,1961,7.6,9120
Takers,2010,6,6420
Don't Be Afraid of the Dark,2010,5.5,5940
The Back-up Plan,2010,4.9,6360
The Rise,2012,6.2,6480
Heathers,1988,7.2,6180
Australia,2008,6.5,9900
Say Anything...,1989,7.4,6000
What Happens in Vegas,2008,5.9,5940
Treasure Planet,2002,6.8,5700
The Constant Gardener,2005,7.5,7740
The Mask of Zorro,1998,6.7,8160
Men of Honor,2000,6.9,7740
Moonraker,1979,6.2,7560
The Hitcher,2007,5.5,5040
Speed Racer,2008,6,8100
Sense and Sensibility,1995,7.6,8160
Devil,2010,6.2,4800
Surrogates,2009,6.2,5340
Triangle,2009,6.8,5940
Hope Floats,1998,5.5,6840
Waiting...,2005,6.7,5640
La vita e bella,1997,8.5,6960
Take Shelter,2011,7.4,7260
